station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
100,2001-08-21,1,DO_mgl,7.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,3,DO_pctsat,93.2,actual,LMP DO,littoral,NA,NA
100,2001-09-17,2,DO_pctsat,93.3,actual,LMP DO,littoral,NA,NA
100,2001-09-17,1,DO_pctsat,93.3,actual,LMP DO,littoral,NA,NA
100,2001-09-17,0.5,DO_pctsat,93.1,actual,LMP DO,littoral,NA,NA
100,2001-09-17,3,temp_C,19.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,2,temp_C,19.7,actual,LMP DO,littoral,NA,NA
100,2001-09-17,1,temp_C,19.9,actual,LMP DO,littoral,NA,NA
100,2001-09-17,0.5,temp_C,20.4,actual,LMP DO,littoral,NA,NA
100,2001-09-17,5,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,13,DO_pctsat,0,actual,LMP DO,littoral,NA,NA
100,2001-09-17,12,DO_pctsat,78.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,11,DO_pctsat,84.8,actual,LMP DO,littoral,NA,NA
100,2001-09-17,10,DO_pctsat,90.4,actual,LMP DO,littoral,NA,NA
100,2001-09-17,9,DO_pctsat,92.2,actual,LMP DO,littoral,NA,NA
100,2001-09-17,8,DO_pctsat,92.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,7,DO_pctsat,92.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,6,DO_pctsat,92.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,5,DO_pctsat,92.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,4,DO_pctsat,92.8,actual,LMP DO,littoral,NA,NA
200,1999-06-28,15,DO_mgl,10.8,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,15,DO_mgl,8.8,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,14,DO_mgl,9,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,13,DO_mgl,9.2,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,8,DO_pctsat,92.3,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,7,DO_pctsat,92.1,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,10,temp_C,12,actual,LMP DO,pelagic,NA,NA
