FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
60,111,5251.000000000000000,6599.000000000000000,SUNSUN1405,SUNLNWLO,SUNAPEE LAKE-1405,NEW LONDON, ,MERRIMACK,NH,1405.0,RIVER/STREAM,NHRIV801060402-05,UNNAMED BROOK - TO LITTLE SUNAPEE LAKE FROM INLET WEST OF COLBY POINT,YES, , , ,Y,:VLAP:,-72.023364000000001,43.437685999999999
61,112,5252.000000000000000,6606.000000000000000,SUNSUN1612, ,SUNAPEE LAKE-1612,SPRINGFIELD, ,SULLIVAN,NH,"1612.0
STAR LAKE BROOK AT GM ROAD
INTERPOLATION COORDINATES LOCATED ON 4/26/2004 - 43.447975; -72.054203",RIVER/STREAM,NHRIV801060402-09,OTTER BROOK - UNNAMED BROOKS,YES, , , ,Y,:VLAP:,-72.053788999999995,43.448836000000000
62,113,5427.000000000000000,6611.000000000000000,SUNSUN2D,SUNSUN210D,SUNAPEE LAKE-210 STN 2 DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,210 STN 2 DEEP SPOT,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:RMN-LAKES:CYANO-GEN:VLAP_LKTREND:LFISH:VLAP:LKTROPH:,-72.062700000000007,43.383600000000001
63,114,5521.000000000000000,7202.000000000000000,SUNSUN7904, ,SUNAPEE LAKE-790.4,SUNAPEE, ,SULLIVAN,NH,"BLODGETT BROOK (SOUTH COUNTY ROAD)
NEWBURY
",RIVER/STREAM,NHRIV801060402-24,BLODGETT BROOK,YES, , , ,Y,:VLAP:,-72.027193999999994,43.366363000000000
64,115,5522.000000000000000,7215.000000000000000,SUNSUN83015, ,SUNAPEE LAKE-830.15,SUNAPEE, ,SULLIVAN,NH,"COLUMBUS AVENUE (DAM WEIR)
NEW LONDON
",RIVER/STREAM,NHRIV801060402-18,HERRICK COVE BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.028989999999993,43.409816999999997
65,116,5523.000000000000000,7216.000000000000000,SUNSUN8302, ,SUNAPEE LAKE-830.2,NEW LONDON, ,MERRIMACK,NH,"COLUMBUS AVENUE (I-89 CULVERT OUTLET)
",RIVER/STREAM,NHRIV801060402-18,HERRICK COVE BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.026938000000001,43.409778000000003
66,119,5603.000000000000000,6572.000000000000000,SUNLNWLP, ,LITTLE SUNAPEE LAKE-STATION P,SPRINGFIELD, ,SULLIVAN,NH,STATION P,RIVER/STREAM,NHRIV801060402-44,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.016999999999996,43.438583000000001
67,120,5605.000000000000000,6594.000000000000000,SUNSUN1005,MOUSUNHB,SUNAPEE LAKE-1005,SUNAPEE, ,SULLIVAN,NH,"1005.0
HAMEL BROOK (MTN VIEW LAKE)
INTERPOLATION-MAP COORDINATES FOUND 02/03/2004 -  43.345778; -72.086300
",RIVER/STREAM,NHRIV801060402-57,HAMEL BROOK,YES, , , ,Y,:VLAP:,-72.086557999999997,43.346127000000003
68,121,5606.000000000000000,6608.000000000000000,SUNSUN220D,SUNSUN220D,SUNAPEE LAKE-220 DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,"220.0
NEWBURY",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:RMN-LAKES:VLAP_LKTREND:CYANO-GEN:VLAP:,-72.055997000000005,43.361910999999999
69,122,5607.000000000000000,6623.000000000000000,SUNSUN670, ,SUNAPEE LAKE-670,SUNAPEE, ,SULLIVAN,NH,"670.0 CHANDLER BROOK
NEWBURY
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.344336; -72.061517",RIVER/STREAM,NHRIV801060402-29,JOHNSON BROOK,YES, , , ,Y,:VLAP:,-72.066896000000000,43.342818000000001
70,123,5608.000000000000000,6633.000000000000000,SUNSUN710, ,SUNAPEE LAKE-710,NEWBURY, ,MERRIMACK,NH,710.0,RIVER/STREAM,NHRIV801060402-51,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.041996999999995,43.326117000000004
71,124,5609.000000000000000,6646.000000000000000,SUNSUN806, ,SUNAPEE LAKE-806,NEW LONDON, ,MERRIMACK,NH,806.0 WAS TIED TO NHRIV801060402-22 - NOW TIED TO NHRIV801060402-55,RIVER/STREAM,NHRIV801060402-55,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.035272000000006,43.400964000000002
72,125,5835.000000000000000,6487.000000000000000,STASPRD, ,STAR LAKE-DEEP SPOT,SPRINGFIELD, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-01,STAR LAKE,YES, , , ,Y,:LKTROPH:,-72.054100000000005,43.461582999999997
73,133,6010.000000000000000,6549.000000000000000,SUNLNWLA, ,LITTLE SUNAPEE LAKE-STATION A,NEW LONDON, ,MERRIMACK,NH,STATION A,RIVER/STREAM,NHRIV801060402-34,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.003600000000006,43.433399999999999
74,134,6011.000000000000000,6550.000000000000000,SUNLNWLB, ,LITTLE SUNAPEE LAKE-STATION B,NEW LONDON, ,MERRIMACK,NH,STATION B,RIVER/STREAM,NHRIV801060402-35,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.005600000000001,43.431694000000000
75,135,6012.000000000000000,6551.000000000000000,SUNLNWLBC, ,LITTLE SUNAPEE LAKE-STATION B-C,NEW LONDON, ,MERRIMACK,NH,STATION BC,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.007778999999999,43.431666999999997
76,136,6013.000000000000000,6552.000000000000000,SUNLNWLC, ,LITTLE SUNAPEE LAKE-STATION C,NEW LONDON, ,MERRIMACK,NH,STATION C,RIVER/STREAM,NHRIV801060402-36,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.007700000000000,43.430500000000002
